"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Amino acid metabolism","ko00250","Alanine, aspartate and glutamate metabolism","14/569","70/14346",5.0563972116627e-07,9.37871319635247e-06,6.67296358025078e-06,"K01955/K00820/K01953/K00609/K15371/K00266/K00135/K23265/K01756/K00812/K01915/K00278/K01939/K16871",14
"Metabolism","Nucleotide metabolism","ko00240","Pyrimidine metabolism","18/569","114/14346",5.21039622019582e-07,9.37871319635247e-06,6.67296358025078e-06,"K00762/K01494/K01955/K00609/K01465/K00943/K01591/K06287/K06966/K00254/K09769/K00525/K09903/K03787/K01937/K08723/K16066/K00761",18
"Metabolism","Carbohydrate metabolism","ko00640","Propanoate metabolism","17/569","104/14346",6.50684028876642e-07,1.04172370451907e-05,7.41187431090566e-06,"K00169/K02160/K01961/K19745/K00625/K13788/K00925/K00656/K01963/K01692/K01965/K01966/K15024/K01908/K00822/K01578/K01734",17
"Metabolism","Amino acid metabolism","ko00270","Cysteine and methionine metabolism","19/569","128/14346",6.75191289966063e-07,1.04172370451907e-05,7.41187431090566e-06,"K00003/K00058/K00641/K13061/K01920/K01738/K05810/K00928/K01740/K01739/K01758/K00789/K00831/K00812/K00133/K00548/K01611/K25035/K00826",19
"Metabolism","Metabolism of cofactors and vitamins","ko00860","Porphyrin metabolism","20/569","142/14346",8.14194827568459e-07,1.17244055169858e-05,8.34192595263123e-06,"K02495/K11335/K11334/K11333/K11337/K00798/K02303/K04034/K03404/K03428/K04037/K04039/K04038/K11336/K00768/K02233/K02231/K00643/K01885/K01698",20
"Metabolism","Nucleotide metabolism","ko00230","Purine metabolism","26/569","224/14346",9.14954748160147e-07,1.2351889100162e-05,8.78838113364352e-06,"K15778/K00939/K06928/K00769/K01951/K00856/K00088/K06966/K00942/K00759/K05810/K00948/K01952/K23269/K23265/K23264/K01923/K01756/K01488/K21053/K01588/K09769/K00525/K03787/K00364/K01939",26
"Metabolism","Carbohydrate metabolism","ko00650","Butanoate metabolism","17/569","114/14346",2.4370324641312e-06,3.09646477795493e-05,2.2031377075118e-05,"K00169/K03737/K03821/K17865/K00656/K05973/K00626/K01907/K01692/K01715/K23351/K23352/K00023/K00135/K01034/K18118/K16871",17
"Metabolism","Amino acid metabolism","ko00280","Valine, leucine and isoleucine degradation","13/569","71/14346",3.67588577085922e-06,4.41106292503106e-05,3.1384755704412e-05,"K00626/K00632/K01907/K01692/K01965/K01966/K00128/K00822/K00020/K11538/K00249/K13766/K00826",13
"Cellular Processes","Cell motility","ko02030","Bacterial chemotaxis","8/569","26/14346",4.83541726321579e-06,5.49710594134005e-05,3.91119623506651e-05,"K03406/K02417/K03414/K03412/K13924/K10439/K02556/K02557",8
"Metabolism","Energy metabolism","ko00720","Other carbon fixation pathways","17/569","121/14346",5.59970652585613e-06,6.04768304792462e-05,4.30293238302629e-05,"K00169/K03737/K02160/K01961/K00625/K13788/K00925/K00626/K01963/K08691/K00196/K25124/K01491/K15024/K14449/K01679/K01676",17
"Metabolism","Amino acid metabolism","ko00400","Phenylalanine, tyrosine and tryptophan biosynthesis","13/569","74/14346",5.9369792525921e-06,6.10660723123759e-05,4.34485699688445e-05,"K03786/K01736/K04518/K00220/K04517/K01696/K01695/K00891/K00812/K00766/K13497/K01609/K00800",13
"Metabolism","Carbohydrate metabolism","ko00051","Fructose and mannose metabolism","16/569","115/14346",1.19362130937022e-05,0.00011719191037453,8.33821584536133e-05,"K00971/K16011/K01840/K15778/K01086/K03841/K11532/K11645/K00847/K01628/K01809/K21071/K01808/K02769/K02770/K02768",16
"Metabolism","Lipid metabolism","ko00061","Fatty acid biosynthesis","9/569","40/14346",2.07189710816616e-05,0.000194578163201692,0.000138442552765336,"K02160/K01961/K00208/K01963/K00059/K00645/K09458/K01897/K00648",9
"Metabolism","Global and overview maps","ko01212","Fatty acid metabolism","13/569","84/14346",2.4695000302528e-05,0.000222255002722752,0.000158134651060048,"K02160/K01961/K00208/K00626/K00632/K01963/K01692/K00059/K00645/K09458/K01897/K00648/K00249",13
"Metabolism","Global and overview maps","ko01210","2-Oxocarboxylic acid metabolism","15/569","113/14346",3.91519862795365e-05,0.000338273161455195,0.000240681684076308,"K00169/K03737/K00145/K05825/K00821/K00620/K01649/K00928/K00812/K00133/K01647/K00162/K00161/K00826/K01687",15
"Metabolism","Metabolism of cofactors and vitamins","ko00670","One carbon pool by folate","11/569","65/14346",4.43017706766954e-05,0.000368045479467931,0.000261864717360224,"K00281/K00283/K00282/K02437/K00605/K01433/K01491/K01758/K00789/K00548/K00600",11
"Cellular Processes","Cell motility","ko02040","Flagellar assembly","10/569","55/14346",5.19554496220653e-05,0.000415643596976522,0.000295730824359514,"K02390/K02389/K02401/K02394/K02396/K02395/K02406/K02417/K02556/K02557",10
"Metabolism","Amino acid metabolism","ko00340","Histidine metabolism","9/569","47/14346",8.0609638175223e-05,0.000621845780208863,0.000442443878706111,"K00013/K02501/K00128/K02502/K01458/K01745/K05603/K01712/K01496",9
"Genetic Information Processing","Folding, sorting and degradation","ko03060","Protein export","9/569","49/14346",0.00011325025671593,0.000843519153470375,0.000600164699837596,"K03073/K03101/K03217/K03210/K03100/K03075/K03118/K03117/K03116",9
"Metabolism","Metabolism of cofactors and vitamins","ko00785","Lipoic acid metabolism","7/569","31/14346",0.000170461542552863,0.00122732310638062,0.00087324158641116,"K00281/K00283/K00282/K02437/K00605/K00162/K00161",7
"Metabolism","Metabolism of terpenoids and polyketides","ko00900","Terpenoid backbone biosynthesis","10/569","64/14346",0.000195348031055356,0.00136113466799861,0.000968448642922986,"K00795/K13789/K01662/K02523/K00626/K00099/K00991/K01770/K12506/K03186",10
"Metabolism","Carbohydrate metabolism","ko00500","Starch and sucrose metabolism","13/569","106/14346",0.00028335627621166,0.00188192702738148,0.00133899291421879,"K15778/K00697/K01087/K00847/K01214/K02438/K00700/K01236/K16147/K05343/K00963/K01182/K01187",13
"Metabolism","Amino acid metabolism","ko00220","Arginine biosynthesis","10/569","67/14346",0.000287516629183282,0.00188192702738148,0.00133899291421879,"K00145/K01955/K00611/K00821/K15371/K00620/K23265/K00812/K01915/K01457",10
"Metabolism","Carbohydrate metabolism","ko00010","Glycolysis / Gluconeogenesis","13/569","107/14346",0.000311115376891645,0.0019764976884881,0.00140628003177028,"K15778/K00169/K03737/K01086/K03841/K11532/K11645/K13954/K00128/K00138/K21071/K00162/K00161",13
"Cellular Processes","Cellular community - prokaryotes","ko02024","Quorum sensing","24/569","283/14346",0.000390927692535251,0.00241258233107469,0.00171655468000441,"K02033/K02034/K02031/K02032/K03073/K03217/K13061/K01996/K01999/K01998/K01997/K02053/K02054/K15582/K15581/K02035/K20527/K18139/K10715/K01897/K03210/K03075/K09823/K02055",24
"Metabolism","Metabolism of cofactors and vitamins","ko00730","Thiamine metabolism","7/569","36/14346",0.000455650137511108,0.00273390082506665,0.00194517310165561,"K01662/K00939/K06928/K00788/K04487/K00946/K03707",7
"Metabolism","Carbohydrate metabolism","ko00030","Pentose phosphate pathway","11/569","89/14346",0.00076655785938779,0.00447504047642601,0.003183995660615,"K15778/K01783/K01086/K03841/K00615/K11532/K11645/K00948/K21071/K01808/K00616",11
"Metabolism","Metabolism of other amino acids","ko00430","Taurine and hypotaurine metabolism","6/569","29/14346",0.000825500549214536,0.00469231891132473,0.00333858947881779,"K00625/K13788/K00925/K15371/K15024/K15373",6
"Metabolism","Global and overview maps","ko01250","Biosynthesis of nucleotide sugars","19/569","223/14346",0.00144815234014103,0.00802053603770418,0.00570661920811311,"K01710/K12450/K00067/K00971/K16011/K01840/K15778/K03271/K00790/K00820/K04042/K01784/K03274/K03272/K00847/K01809/K01791/K01627/K00963",19
"Metabolism","Energy metabolism","ko00910","Nitrogen metabolism","9/569","69/14346",0.00154720410903615,0.00835490218879522,0.00594452105050732,"K05601/K15371/K00266/K02591/K02586/K02588/K01915/K01674/K01673",9
"Genetic Information Processing","Replication and repair","ko03430","Mismatch repair","7/569","44/14346",0.00159041851910065,0.00837879024696929,0.00596151742718088,"K03572/K02340/K02338/K03601/K02337/K03111/K02339",7
"Metabolism","Energy metabolism","ko00680","Methane metabolism","17/569","196/14346",0.00208891864220018,0.0107430101598867,0.00764366219952949,"K00169/K01086/K03841/K11532/K00058/K11645/K00625/K13788/K00925/K08691/K00196/K25124/K21071/K00831/K03532/K07812/K00600",17
"Metabolism","Carbohydrate metabolism","ko00520","Amino sugar and nucleotide sugar metabolism","12/569","116/14346",0.00217133042462908,0.0109071481795321,0.00776044656048582,"K00971/K16011/K01840/K15778/K00790/K00820/K04042/K01784/K00847/K01809/K01791/K00963",12
"Genetic Information Processing","Replication and repair","ko03030","DNA replication","8/569","60/14346",0.00242152311704944,0.0118874771200609,0.00845795155715834,"K02316/K03469/K02340/K02338/K02314/K02337/K03111/K02339",8
"Metabolism","Amino acid metabolism","ko00300","Lysine biosynthesis","7/569","48/14346",0.00266607794426595,0.0127971741324766,0.00910520186813635,"K00003/K05825/K00821/K00215/K00928/K14267/K00133",7
"Metabolism","Glycan biosynthesis and metabolism","ko00541","Biosynthesis of various nucleotide sugars","13/569","138/14346",0.00332773889465805,0.0156259043749161,0.0111178461926791,"K01710/K12450/K00067/K00971/K16011/K03271/K04042/K03274/K03272/K10012/K01791/K01627/K00963",13
"Metabolism","Metabolism of cofactors and vitamins","ko00130","Ubiquinone and other terpenoid-quinone biosynthesis","8/569","64/14346",0.0036490755364319,0.0167702194865807,0.0119320275099453,"K02548/K06134/K03185/K03183/K03809/K03179/K03186/K00355",8
"Metabolism","Amino acid metabolism","ko00290","Valine, leucine and isoleucine biosynthesis","4/569","19/14346",0.0059003751413132,0.0265516881359094,0.0188915519875379,"K01649/K00826/K01754/K01687",4
"Metabolism","Carbohydrate metabolism","ko00020","Citrate cycle (TCA cycle)","8/569","70/14346",0.00633168005160425,0.0279110794111534,0.0198587602048168,"K00169/K03737/K01647/K00162/K00161/K18118/K01679/K01676",8
"Metabolism","Xenobiotics biodegradation and metabolism","ko00625","Chloroalkane and chloroalkene degradation","6/569","43/14346",0.00663089746601433,0.0286454770531819,0.0203812848429072,"K02591/K02586/K02588/K13954/K00128/K01560",6
"Cellular Processes","Cell growth and death","ko04112","Cell cycle - Caulobacter","5/569","31/14346",0.00696833308242308,0.0295129401137919,0.0209984856560118,"K01338/K02313/K07716/K02314/K13584",5
"Environmental Information Processing","Membrane transport","ko03070","Bacterial secretion system","8/569","74/14346",0.00881293338081319,0.0366075694279932,0.0260463213279094,"K03073/K03217/K03205/K03210/K03075/K03118/K03117/K03116",8
"Metabolism","Lipid metabolism","ko00071","Fatty acid degradation","7/569","60/14346",0.00930846481024733,0.0379363848870457,0.026991774822167,"K00626/K00632/K01692/K13954/K00128/K01897/K00249",7
